0	16888888.89	5777777.778	32888888.89	8000000
24	20666666.67	12666666.67	19666666.67	106666666.7
48	40333333.33	156666666.7	23333333.33	180000000
72	49000000	476666666.7	40666666.67	263333333.3
96	62000000	480000000	55000000	230000000
120	96666666.67	940000000	166666666.7	460000000
144	90000000	856666666.7	136666666.7	690000000
192	110000000	453333333.3	150000000	356666666.7
288	116666666.7	206666666.7	156666666.7	346666666.7
